Year League,Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500,ExInn,Ties
1875 NA_Season,13,Keokuk Westerns,1,12,0.077,37.0,100.5,3.5,6.8,-3.3,-1.0,-4.3,3-10,-2.0,1-7,0-5,0-3,1-10,0-0,0-5,1-7,,
1935 NL,1,Chicago Cubs,100,54,0.649,--,,5.5,3.9,1.6,-0.2,1.4,101-53,-1.0,56-21,44-33,25-23,83-47,17-7,37-29,63-25,11-10,
1935 NL,2,St. Louis Cardinals,96,58,0.623,4.0,4.0,5.4,4.1,1.3,-0.2,1.2,96-58,0.0,53-24,43-34,23-22,75-49,21-9,33-33,63-25,12-6,
1935 NL,3,New York Giants,91,62,0.595,8.5,13.0,4.9,4.3,0.6,-0.1,0.5,86-67,5.0,50-27,41-35,23-11,75-46,16-16,36-30,55-32,13-6,
1935 NL,4,Pittsburgh Pirates,86,67,0.562,13.5,28.0,4.9,4.2,0.6,-0.1,0.6,86-67,0.0,46-31,40-36,23-17,45-40,41-27,26-40,60-27,3-6,
1935 NL,5,Brooklyn Dodgers,70,83,0.458,29.5,92.0,4.6,5.0,-0.4,0.0,-0.3,71-82,-1.0,38-38,32-45,15-21,59-67,11-16,31-57,39-26,5-8,
1935 NL,6,Cincinnati Reds,68,85,0.444,31.5,102.0,4.2,5.0,-0.8,0.1,-0.7,64-89,4.0,41-35,27-50,21-15,56-65,12-20,32-55,36-30,5-8,
1935 NL,7,Philadelphia Phillies,64,89,0.418,35.5,126.0,4.4,5.6,-1.2,0.2,-1.0,60-93,4.0,35-43,29-46,23-20,48-59,16-30,32-56,32-33,6-5,
1935 NL,8,Boston Braves,38,115,0.248,61.5,308.0,3.8,5.6,-1.8,0.2,-1.6,50-103,-12.0,25-50,13-65,7-31,32-93,6-22,14-73,24-42,1-7,
1871 NA_Season,1,Philadelphia Athletics,21,7,0.75,--,,13.4,9.5,3.9,-0.2,3.7,18-10,3.0,11-3,10-4,3-0,16-7,4-0,7-5,14-2,,
1871 NA_Season,2,Boston Red Stockings,20,10,0.667,2.0,2.0,12.9,9.8,3.2,-0.2,2.9,19-11,1.0,11-5,9-5,1-3,16-8,3-2,7-5,13-5,,
